# Title: PUP Domains Splunk Lookup
# Description: Block domains that host potentially unwanted programs (PUP)
# Updated: 2023-05-14T00:15:18Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/pup-filter
# License: https://gitlab.com/malware-filter/pup-filter#license
# Source: https://github.com/zhouhanc/malware-discoverer
# Update (2023-05-10): Daily update has been paused. gitlab.com/malware-filter/pup-filter/-/issues/2
"host","path","message","updated"
"investinfo.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"invoicingsoftware.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"jakeview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"koalaspringb.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"llcvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadextremelynewesttheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadfreegreatlytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"loadrecentextremelytheproduct.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"lovegoodfats.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"lucktoday.club","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"managestrongintenselythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"marionettespuppets.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mattdeany.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"meetsurvey.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"meuble-salle-bain-teck.fr","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"militaryautoinsurance.biz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"misticview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mistikvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mkluzkoviny.cz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"monetizer.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"multipleincomestreams.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"mygiftportal.app","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"neckcolonyunit.buzz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"newchange.io","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"news-deluhi.cc","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"nordvpnhosting.com","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"nutritio.news","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"omgyouwon.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"on-program-course-us-intl-ok.live","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"pandasummerb.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"peetco.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"peoplemarketing.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"peovideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"perfectprizes.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"performhighlyspeedythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"performhighlyswiftthefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"performrenewedgreatlythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"personalloanpro.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"placetowin.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"playautumnd.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"playrefinedheavilythefile.vip","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"profitedsurvey.site","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"prospect-verified.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"prote.today","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"qoubvideo.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"questionpro.ca","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"quickorange.net","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"realprizeshere.life","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"recaptchatest.online","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"recommended-vpns.com","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"research-study.healthcare","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"restaurantsnearestme.co","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"runbig.xyz","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"seacrossweek.top","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"setview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sexateam.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
"sexaview.ru","","pup-filter PUP website detected","2023-05-14T00:15:18Z"
